,category_id,nation,views,category_name,publishing_day,publishing_hour,publishing_day_num
0,22,KR,156130,People & Blogs,Mon,7,0
1,25,KR,76533,News & Politics,Mon,10,0
2,22,KR,421409,People & Blogs,Sat,7,6
3,25,KR,222850,News & Politics,Sun,11,7
4,25,KR,84466,News & Politics,Mon,11,0
5,25,KR,188707,News & Politics,Sun,10,7
6,22,KR,114858,People & Blogs,Sun,3,7
7,22,KR,70166,People & Blogs,Sun,11,7
8,22,KR,65547,People & Blogs,Sun,18,7
9,22,KR,17868,People & Blogs,Mon,10,0
10,22,KR,154614,People & Blogs,Sat,17,6
11,17,KR,1812042,Sports,Fri,13,4
12,19,KR,260467,Travel & Events,Sat,5,6
13,23,KR,85021,Comedy,Sun,12,7
14,10,KR,2580925,Music,Mon,9,0
15,24,KR,83873,Entertainment,Sun,7,7
16,24,KR,419815,Entertainment,Sat,7,6
17,24,KR,299101,Entertainment,Mon,8,0
18,24,KR,75564,Entertainment,Mon,9,0
19,17,KR,290742,Sports,Sat,1,6
20,23,KR,104070,Comedy,Mon,13,0
21,25,KR,88115,News & Politics,Mon,0,0
22,24,KR,182505,Entertainment,Mon,10,0
23,25,KR,56248,News & Politics,Mon,9,0
24,15,KR,204914,Pets & Animals,Sun,13,7
25,22,KR,18867,People & Blogs,Sun,12,7
26,22,KR,96820,People & Blogs,Mon,0,0
27,25,KR,58676,News & Politics,Mon,9,0
28,24,KR,370244,Entertainment,Sat,13,6
29,22,KR,8266,People & Blogs,Sun,1,7
30,22,KR,13662,People & Blogs,Mon,11,0
31,25,KR,102348,News & Politics,Mon,0,0
32,1,KR,18055,Film & Animation,Mon,5,0
33,22,KR,263044,People & Blogs,Mon,10,0
34,25,KR,59759,News & Politics,Mon,1,0
35,24,KR,413871,Entertainment,Sat,11,6
36,1,KR,338582,Film & Animation,Sun,5,7
37,25,KR,42606,News & Politics,Sun,19,7
38,25,KR,44248,News & Politics,Mon,4,0
39,17,KR,204935,Sports,Sat,16,6
40,10,KR,149601,Music,Sat,17,6
41,25,KR,217077,News & Politics,Sat,14,6
42,24,KR,28141,Entertainment,Mon,3,0
43,25,KR,62856,News & Politics,Mon,2,0
44,22,KR,260596,People & Blogs,Sun,9,7
45,25,KR,32098,News & Politics,Mon,9,0
46,17,KR,30406,Sports,Mon,10,0
47,1,KR,280873,Film & Animation,Sun,5,7
48,43,KR,11452,Shows,Mon,9,0
49,25,KR,121299,News & Politics,Sun,14,7
50,25,KR,104885,News & Politics,Sun,4,7
51,22,KR,31298,People & Blogs,Mon,5,0
52,1,KR,26676,Film & Animation,Sun,5,7
53,10,KR,13549,Music,Sun,18,7
54,25,KR,20051,News & Politics,Mon,14,0
55,1,KR,215525,Film & Animation,Sat,2,6
56,22,KR,44083,People & Blogs,Mon,10,0
57,25,KR,341243,News & Politics,Thu,13,3
58,22,KR,146317,People & Blogs,Sat,15,6
59,10,KR,2348107,Music,Sat,12,6
60,25,KR,28897,News & Politics,Mon,4,0
61,25,KR,377469,News & Politics,Sat,12,6
62,22,KR,205677,People & Blogs,Sat,2,6
63,24,KR,290960,Entertainment,Thu,23,3
64,24,KR,70801,Entertainment,Sun,8,7
65,10,KR,5718766,Music,Sat,16,6
66,10,KR,753347,Music,Sat,5,6
67,22,KR,26785,People & Blogs,Mon,12,0
68,1,KR,78134,Film & Animation,Sat,13,6
69,1,KR,73676,Film & Animation,Sun,9,7
70,22,KR,144091,People & Blogs,Mon,9,0
71,24,KR,200053,Entertainment,Sun,16,7
72,25,KR,30298,News & Politics,Mon,5,0
73,28,KR,45357,Science & Technology,Sun,12,7
74,22,KR,130842,People & Blogs,Sun,13,7
75,25,KR,16277,News & Politics,Mon,0,0
76,10,KR,10588371,Music,Sat,6,6
77,1,KR,104088,Film & Animation,Sun,22,7
78,24,KR,14300,Entertainment,Mon,0,0
79,24,KR,508384,Entertainment,Sat,7,6
80,22,KR,9485,People & Blogs,Mon,10,0
81,22,KR,28569,People & Blogs,Mon,10,0
82,22,KR,289761,People & Blogs,Fri,10,4
83,24,KR,1135745,Entertainment,Thu,8,3
84,23,KR,66283,Comedy,Mon,8,0
85,25,KR,29297,News & Politics,Sun,21,7
86,1,KR,1096327,Film & Animation,Sun,12,7
87,22,KR,39558,People & Blogs,Sun,0,7
88,25,KR,18040,News & Politics,Mon,1,0
89,23,KR,31433,Comedy,Sun,7,7
90,10,KR,836006,Music,Sun,10,7
91,24,KR,118657,Entertainment,Sun,0,7
92,23,KR,231030,Comedy,Sun,12,7
93,24,KR,2789395,Entertainment,Wed,11,2
94,10,KR,32181,Music,Mon,9,0
95,25,KR,15814,News & Politics,Sun,8,7
96,1,KR,69885,Film & Animation,Sat,1,6
97,22,KR,8129,People & Blogs,Mon,8,0
98,1,KR,49147,Film & Animation,Sun,5,7
99,10,KR,162551,Music,Sat,9,6
100,22,KR,464322,People & Blogs,Mon,9,0
101,22,KR,117143,People & Blogs,Mon,8,0
102,22,KR,84987,People & Blogs,Sat,16,6
103,23,KR,498073,Comedy,Fri,6,4
104,25,KR,185301,News & Politics,Fri,8,4
105,22,KR,12522,People & Blogs,Mon,5,0
106,1,KR,535876,Film & Animation,Fri,12,4
107,1,KR,108020,Film & Animation,Sat,4,6
108,10,KR,237673,Music,Fri,6,4
109,20,KR,90386,Gaming,Sun,1,7
110,20,KR,64837,Gaming,Sat,15,6
111,22,KR,15375,People & Blogs,Sun,10,7
112,22,KR,9763,People & Blogs,Sun,2,7
113,22,KR,41637,People & Blogs,Sat,5,6
114,22,KR,13201,People & Blogs,Sun,7,7
115,25,KR,78450,News & Politics,Sat,5,6
116,24,KR,27352,Entertainment,Sun,16,7
117,25,KR,345008,News & Politics,Thu,20,3
118,29,KR,45444,Nonprofits & Activism,Sat,15,6
119,24,KR,137147,Entertainment,Sun,12,7
120,17,KR,467546,Sports,Fri,15,4
121,29,KR,9628,Nonprofits & Activism,Sun,9,7
122,22,KR,62823,People & Blogs,Sat,17,6
123,20,KR,82438,Gaming,Fri,3,4
124,25,KR,148370,News & Politics,Fri,16,4
125,24,KR,542087,Entertainment,Sat,4,6
126,22,KR,30848,People & Blogs,Sun,15,7
127,20,KR,632734,Gaming,Wed,10,2
128,10,KR,56037,Music,Sat,9,6
129,25,KR,622784,News & Politics,Thu,6,3
130,29,KR,21391,Nonprofits & Activism,Sun,19,7
131,1,KR,156292,Film & Animation,Fri,10,4
132,19,KR,41997,Travel & Events,Sat,11,6
133,1,KR,71545,Film & Animation,Sat,10,6
134,17,KR,190463,Sports,Fri,14,4
135,1,KR,150411,Film & Animation,Sat,2,6
136,24,KR,20731,Entertainment,Sat,9,6
137,22,KR,25655,People & Blogs,Sun,15,7
138,24,KR,154115,Entertainment,Sun,15,7
139,22,KR,46765,People & Blogs,Sat,7,6
140,22,KR,23537,People & Blogs,Sat,19,6
141,24,KR,17568,Entertainment,Sun,8,7
142,15,KR,34339,Pets & Animals,Sat,9,6
