,Unnamed: 0,category_id,nation,views,category_name,publishing_day,publishing_hour,publishing_day_num
13941,13941,23,KR,317555,Comedy,Mon,0,0
14149,14149,23,KR,355567,Comedy,Mon,0,0
341,341,23,KR,14490,Comedy,Mon,2,0
8430,8430,23,KR,509970,Comedy,Mon,2,0
8641,8641,23,KR,616146,Comedy,Mon,2,0
8839,8839,23,KR,661345,Comedy,Mon,2,0
15115,15115,23,KR,33524,Comedy,Mon,2,0
15316,15316,23,KR,47146,Comedy,Mon,2,0
16332,16332,23,KR,35603,Comedy,Mon,2,0
29097,29097,23,KR,624355,Comedy,Mon,2,0
29266,29266,23,KR,815563,Comedy,Mon,2,0
29395,29395,23,KR,815563,Comedy,Mon,2,0
29476,29476,23,KR,890472,Comedy,Mon,2,0
29723,29723,23,KR,921825,Comedy,Mon,2,0
7284,7284,23,KR,79756,Comedy,Mon,3,0
7458,7458,23,KR,104605,Comedy,Mon,3,0
7677,7677,23,KR,116467,Comedy,Mon,3,0
9629,9629,23,KR,2594599,Comedy,Mon,3,0
12709,12709,23,KR,606995,Comedy,Mon,3,0
12883,12883,23,KR,748775,Comedy,Mon,3,0
13018,13018,23,KR,748775,Comedy,Mon,3,0
13071,13071,23,KR,843698,Comedy,Mon,3,0
13169,13169,23,KR,843698,Comedy,Mon,3,0
13270,13270,23,KR,919028,Comedy,Mon,3,0
13343,13343,23,KR,919028,Comedy,Mon,3,0
8394,8394,23,KR,319523,Comedy,Mon,5,0
8627,8627,23,KR,348546,Comedy,Mon,5,0
8840,8840,23,KR,368234,Comedy,Mon,5,0
27947,27947,23,KR,608369,Comedy,Mon,5,0
8377,8377,23,KR,273007,Comedy,Mon,6,0
8577,8577,23,KR,364683,Comedy,Mon,6,0
10635,10635,23,KR,102433,Comedy,Mon,6,0
12763,12763,23,KR,9702,Comedy,Mon,6,0
12936,12936,23,KR,16168,Comedy,Mon,6,0
13888,13888,23,KR,1004160,Comedy,Mon,6,0
14049,14049,23,KR,1401019,Comedy,Mon,6,0
14182,14182,23,KR,1401019,Comedy,Mon,6,0
8363,8363,23,KR,180788,Comedy,Mon,7,0
8547,8547,23,KR,278877,Comedy,Mon,7,0
8638,8638,23,KR,365727,Comedy,Mon,7,0
8760,8760,23,KR,312785,Comedy,Mon,7,0
8827,8827,23,KR,434875,Comedy,Mon,7,0
8994,8994,23,KR,317123,Comedy,Mon,7,0
13900,13900,23,KR,249868,Comedy,Mon,7,0
14094,14094,23,KR,311293,Comedy,Mon,7,0
14358,14358,23,KR,334755,Comedy,Mon,7,0
18523,18523,23,KR,195417,Comedy,Mon,7,0
18702,18702,23,KR,370649,Comedy,Mon,7,0
18934,18934,23,KR,454976,Comedy,Mon,7,0
19126,19126,23,KR,527823,Comedy,Mon,7,0
25662,25662,23,KR,584801,Comedy,Mon,7,0
25844,25844,23,KR,713313,Comedy,Mon,7,0
26075,26075,23,KR,747223,Comedy,Mon,7,0
26829,26829,23,KR,486504,Comedy,Mon,7,0
27039,27039,23,KR,581124,Comedy,Mon,7,0
27246,27246,23,KR,606907,Comedy,Mon,7,0
29250,29250,23,KR,660635,Comedy,Mon,7,0
29379,29379,23,KR,660635,Comedy,Mon,7,0
29438,29438,23,KR,749164,Comedy,Mon,7,0
29577,29577,23,KR,749164,Comedy,Mon,7,0
29686,29686,23,KR,789045,Comedy,Mon,7,0
29898,29898,23,KR,829251,Comedy,Mon,7,0
30359,30359,23,KR,204379,Comedy,Mon,7,0
30493,30493,23,KR,204379,Comedy,Mon,7,0
30582,30582,23,KR,314357,Comedy,Mon,7,0
31657,31657,23,KR,67487,Comedy,Mon,7,0
31884,31884,23,KR,81148,Comedy,Mon,7,0
34154,34154,23,KR,50122,Comedy,Mon,7,0
84,84,23,KR,66283,Comedy,Mon,8,0
300,300,23,KR,97712,Comedy,Mon,8,0
528,528,23,KR,111681,Comedy,Mon,8,0
2535,2535,23,KR,213094,Comedy,Mon,8,0
2695,2695,23,KR,259942,Comedy,Mon,8,0
2842,2842,23,KR,259942,Comedy,Mon,8,0
2933,2933,23,KR,288605,Comedy,Mon,8,0
3163,3163,23,KR,299847,Comedy,Mon,8,0
3785,3785,23,KR,165135,Comedy,Mon,8,0
4039,4039,23,KR,188149,Comedy,Mon,8,0
6030,6030,23,KR,240191,Comedy,Mon,8,0
6207,6207,23,KR,485351,Comedy,Mon,8,0
6394,6394,23,KR,560713,Comedy,Mon,8,0
6600,6600,23,KR,584137,Comedy,Mon,8,0
6836,6836,23,KR,609419,Comedy,Mon,8,0
9537,9537,23,KR,234815,Comedy,Mon,8,0
9674,9674,23,KR,234815,Comedy,Mon,8,0
16338,16338,23,KR,217264,Comedy,Mon,8,0
17390,17390,23,KR,221374,Comedy,Mon,8,0
17586,17586,23,KR,261824,Comedy,Mon,8,0
19638,19638,23,KR,321869,Comedy,Mon,8,0
19641,19641,23,KR,325571,Comedy,Mon,8,0
19688,19688,23,KR,368614,Comedy,Mon,8,0
19810,19810,23,KR,473845,Comedy,Mon,8,0
19813,19813,23,KR,490210,Comedy,Mon,8,0
19860,19860,23,KR,481769,Comedy,Mon,8,0
19963,19963,23,KR,538106,Comedy,Mon,8,0
19995,19995,23,KR,513330,Comedy,Mon,8,0
20014,20014,23,KR,538106,Comedy,Mon,8,0
20046,20046,23,KR,513330,Comedy,Mon,8,0
20184,20184,23,KR,568311,Comedy,Mon,8,0
20780,20780,23,KR,305624,Comedy,Mon,8,0
20793,20793,23,KR,670273,Comedy,Mon,8,0
21010,21010,23,KR,804216,Comedy,Mon,8,0
21951,21951,23,KR,443359,Comedy,Mon,8,0
22098,22098,23,KR,443359,Comedy,Mon,8,0
22161,22161,23,KR,657816,Comedy,Mon,8,0
22264,22264,23,KR,657816,Comedy,Mon,8,0
3822,3822,23,KR,40155,Comedy,Mon,9,0
8611,8611,23,KR,90780,Comedy,Mon,9,0
16462,16462,23,KR,110948,Comedy,Mon,9,0
16637,16637,23,KR,201032,Comedy,Mon,9,0
16875,16875,23,KR,270537,Comedy,Mon,9,0
24572,24572,23,KR,23648,Comedy,Mon,9,0
24799,24799,23,KR,33203,Comedy,Mon,9,0
34349,34349,23,KR,82804,Comedy,Mon,9,0
34364,34364,23,KR,28834,Comedy,Mon,9,0
10658,10658,23,KR,68278,Comedy,Mon,10,0
10869,10869,23,KR,73066,Comedy,Mon,10,0
12747,12747,23,KR,274516,Comedy,Mon,10,0
12935,12935,23,KR,320278,Comedy,Mon,10,0
13125,13125,23,KR,335463,Comedy,Mon,10,0
23219,23219,23,KR,227347,Comedy,Mon,10,0
23422,23422,23,KR,302560,Comedy,Mon,10,0
24592,24592,23,KR,149894,Comedy,Mon,10,0
24787,24787,23,KR,216450,Comedy,Mon,10,0
24962,24962,23,KR,283207,Comedy,Mon,10,0
28190,28190,23,KR,216281,Comedy,Mon,10,0
281,281,23,KR,48538,Comedy,Mon,11,0
499,499,23,KR,52156,Comedy,Mon,11,0
1364,1364,23,KR,176474,Comedy,Mon,11,0
1507,1507,23,KR,217422,Comedy,Mon,11,0
1784,1784,23,KR,230216,Comedy,Mon,11,0
4927,4927,23,KR,174431,Comedy,Mon,11,0
4947,4947,23,KR,39138,Comedy,Mon,11,0
5068,5068,23,KR,81400,Comedy,Mon,11,0
5132,5132,23,KR,220049,Comedy,Mon,11,0
5244,5244,23,KR,131006,Comedy,Mon,11,0
5462,5462,23,KR,159941,Comedy,Mon,11,0
